@relation testSet

@attribute powerPS numeric
@attribute kilometer numeric
@attribute monthOfRegistration numeric
@attribute yearOfRegistration numeric
@attribute price numeric

@data
0.367346,0.827586,0.416666,0.924242,18300
0.312245,0.827586,0.666667,0.818182,9800
0.132653,1,0.5,0.772727,1500
0.120408,0.586207,0.583333,0.878788,3600
0.187755,1,0.833333,0.681818,650
0.202041,1,0.666667,0.818182,2200
0.234694,0.172414,0.666667,0.969697,14500
0.185714,1,0,0.727273,999
0.193878,1,1,0.818182,2000
0.265306,1,1,0.833333,2799
0.214286,1,0.916667,0.681818,999
0.246939,1,0.166667,0.818182,2500
0.367347,0.448276,0.25,0.924242,17999
0.102041,1,0,1,300
0.132653,1,0.166667,0.818182,1750
0.257143,1,0.5,0.863636,7550
0.187755,1,0.083333,0.818182,1850
0.306122,0.655172,0.333333,0.893939,10400
0.45102,1,0.583333,0.787879,3699
0.081633,1,0.416667,0.712121,450
0.220408,1,0.833333,0.606061,500
0.373469,1,0.75,0.787879,2500
0.181633,0.37931,0.916667,0.878788,6900
0.081633,0,0.083333,0.469697,1990
0.102041,1,0.25,0.80303,690
0.210204,1,0.083333,0.681818,3300
0.102041,1,0.5,1,899
0.42449,0.103448,0.416667,0.863636,18000
0.228571,1,0.916667,0.818182,3500
0.132653,1,0.333333,1,350
0.132653,0.448276,0,0.621212,1600
0.242857,1,0.916667,0.787879,11900
0.122449,1,0.666667,0.515152,1500
0.604082,1,0.333333,0.787879,7500
0.45102,1,0.916667,0.848485,12500
0.173469,0.655172,0.666667,0.863636,6990
0.104082,0.517241,0.5,0.878788,3900
0.132653,0.827586,0.666667,0.742424,590
0.340816,1,0.666667,0.863636,7999
0.373469,1,0.166667,0.727273,2100
0.202041,1,0.583333,0.939394,13500
0.326531,0.827586,0.333333,0.878788,14800
0.091837,0,0.083333,1,1400
0.271429,1,1,0.878788,7999
0.604082,0.172414,0.583333,0.969697,39600
0.104082,0.517241,0.083333,0.848485,3000
0.185714,1,0.833333,0.727273,1000
0.187755,1,0.333333,0.681818,200
0.453061,1,0.25,0.818182,7499
0.102041,0.448276,0.333333,0.909091,5500
